,frame,behaviour,hits,values,duration,freq
0,1,Nothing,,,,
1,2,Nothing,,,,
2,3,Nothing,,,,
3,4,Nothing,,,,
4,5,Nothing,,,,
5,6,Nothing,,,,
6,7,Nothing,,,,
7,8,Nothing,,,,
8,9,Nothing,,,,
9,10,Nothing,,,,
10,11,Nothing,,,,
11,12,Nothing,,,,
12,13,Nothing,,,,
13,14,Nothing,,,,
14,15,Nothing,,,,
15,16,Nothing,,,,
16,17,Nothing,,,,
17,18,Nothing,,,,
18,19,Nothing,,,,
19,20,Nothing,,,,
20,21,Nothing,,,,
21,22,Nothing,,,,
22,23,Nothing,,,,
23,24,Nothing,,,,
24,25,Nothing,,,,
25,26,Nothing,,,,
26,27,Nothing,,,,
27,28,Nothing,,,,
28,29,Nothing,,,,
29,30,Nothing,,,,
30,31,Nothing,,,,
31,32,Nothing,,,,
32,33,Nothing,,,,
33,34,Nothing,,,,
34,35,Nothing,,,,
35,36,Nothing,,,,
36,37,Nothing,,,,
37,38,Nothing,,,,
38,39,Nothing,,,,
39,40,Nothing,,,,
40,41,Nothing,,,,
41,42,Nothing,,,,
42,43,Nothing,,,,
43,44,Nothing,,,,
44,45,Nothing,,,,
45,46,Nothing,,,,
46,47,Nothing,,,,
47,48,Nothing,,,,
48,49,Nothing,,,,
49,50,Nothing,,,,
50,51,Nothing,,,,
51,52,Nothing,,,,
52,53,Nothing,,,,
53,54,Nothing,,,,
54,55,Nothing,,,,
55,56,Nothing,,,,
56,57,Nothing,,,,
57,58,Nothing,,,,
58,59,Nothing,,,,
59,60,Nothing,,,,
60,61,Nothing,,,,
61,62,Nothing,,,,
62,63,Nothing,,,,
63,64,Nothing,,,,
64,65,Nothing,,,,
65,66,Nothing,,,,
66,67,Nothing,,,,
67,68,Nothing,,,,
68,69,Nothing,,,,
69,70,Nothing,,,,
70,71,Nothing,,,,
71,72,Nothing,,,,
72,73,Nothing,,,,
73,74,Nothing,,,,
74,75,Nothing,,,,
75,76,Nothing,,,,
76,77,Nothing,,,,
77,78,Nothing,,,,
78,79,Nothing,,,,
79,80,Nothing,,,,
80,81,Nothing,,,,
81,82,Nothing,,,,
82,83,Nothing,,,,
83,84,Nothing,,,,
84,85,Nothing,,,,
85,86,Nothing,,,,
86,87,Nothing,,,,
87,88,Nothing,,,,
88,89,Nothing,,,,
89,90,Nothing,,,,
90,91,Nothing,,,,
91,92,Nothing,,,,
92,93,Nothing,,,,
93,94,Nothing,,,,
94,95,Nothing,,,,
95,96,Nothing,,,,
96,97,Nothing,,,,
97,98,Nothing,,,,
98,99,Nothing,,,,
99,100,Nothing,,,,
100,101,Nothing,,,,
101,102,Nothing,,,,
102,103,Nothing,,,,
103,104,Nothing,,,,
104,105,Nothing,,,,
105,106,Nothing,,,,
106,107,Nothing,,,,
107,108,Nothing,,,,
108,109,Nothing,,,,
109,110,Nothing,,,,
110,111,Nothing,,,,
111,112,Nothing,,,,
112,113,Nothing,,,,
113,114,Nothing,,,,
114,115,Nothing,,,,
115,116,Nothing,,,,
116,117,Nothing,,,,
117,118,Nothing,,,,
118,119,Nothing,,,,
119,120,Nothing,,,,
120,121,Nothing,,,,
121,122,Nothing,,,,
122,123,Nothing,,,,
123,124,Nothing,,,,
124,125,Nothing,,,,
125,126,Nothing,,,,
126,127,Nothing,,,,
127,128,Nothing,,,,
128,129,Nothing,,,,
129,130,Nothing,,,,
130,131,Nothing,,,,
131,132,Nothing,,,,
132,133,Nothing,,,,
133,134,Nothing,,,,
134,135,Nothing,,,,
135,136,Nothing,,,,
136,137,Nothing,,,,
137,138,Nothing,,,,
138,139,Nothing,,,,
139,140,Nothing,,,,
140,141,Nothing,,,,
141,142,Nothing,,,,
142,143,Nothing,,,,
143,144,Nothing,,,,
144,145,Nothing,,,,
145,146,Nothing,,,,
146,147,Nothing,,,,
147,148,Nothing,,,,
148,149,Nothing,,,,
149,150,Nothing,,,,
150,151,Nothing,,,,
151,152,Nothing,,,,
152,153,Nothing,,,,
153,154,Nothing,,,,
154,155,Nothing,,,,
155,156,Nothing,,,,
156,157,Nothing,,,,
157,158,Nothing,,,,
158,159,Nothing,,,,
159,160,Nothing,,,,
160,161,Nothing,,,,
161,162,Nothing,,,,
162,163,Nothing,,,,
163,164,Nothing,,,,
164,165,Nothing,,,,
165,166,Nothing,,,,
166,167,Nothing,,,,
167,168,Nothing,,,,
168,169,Nothing,,,,
169,170,Nothing,,,,
170,171,Nothing,,,,
171,172,Nothing,,,,
172,173,Nothing,,,,
173,174,Nothing,,,,
174,175,Nothing,,,,
175,176,Nothing,,,,
176,177,Nothing,,,,
177,178,Nothing,,,,
178,179,Nothing,,,,
179,180,Nothing,,,,
180,181,Nothing,,,,
181,182,Nothing,,,,
182,183,Nothing,,,,
183,184,Nothing,,,,
184,185,Nothing,,,,
185,186,Nothing,,,,
186,187,Nothing,,,,
187,188,Nothing,,,,
188,189,Nothing,,,,
189,190,Nothing,,,,
190,191,Nothing,,,,
191,192,Nothing,,,,
192,193,Nothing,,,,
193,194,Nothing,,,,
194,195,Nothing,,,,
195,196,Nothing,,,,
196,197,Nothing,,,,
197,198,Nothing,,,,
198,199,Nothing,,,,
199,200,Nothing,,,,
200,201,Nothing,,,,
201,202,Nothing,,,,
202,203,Nothing,,,,
203,204,Nothing,,,,
204,205,Nothing,,,,
205,206,Nothing,,,,
206,207,Nothing,,,,
207,208,Nothing,,,,
208,209,Nothing,,,,
209,210,Nothing,,,,
210,211,Nothing,,,,
211,212,Nothing,,,,
212,213,Nothing,,,,
213,214,Nothing,,,,
214,215,Nothing,,,,
215,216,Nothing,,,,
216,217,Nothing,,,,
217,218,Nothing,,,,
218,219,Nothing,,,,
219,220,Nothing,,,,
220,221,Nothing,,,,
221,222,Nothing,,,,
222,223,Nothing,,,,
223,224,Nothing,,,,
224,225,Nothing,,,,
225,226,Nothing,,,,
226,227,Nothing,,,,
227,228,Nothing,,,,
228,229,Nothing,,,,
229,230,Nothing,,,,
230,231,Nothing,,,,
231,232,Nothing,,,,
232,233,Nothing,,,,
233,234,Nothing,,,,
234,235,Nothing,,,,
235,236,Nothing,,,,
236,237,Nothing,,,,
237,238,Nothing,,,,
238,239,Nothing,,,,
239,240,Nothing,,,,
240,241,Nothing,,,,
241,242,Nothing,,,,
242,243,Nothing,,,,
243,244,Nothing,,,,
244,245,Nothing,,,,
245,246,Nothing,,,,
246,247,Nothing,,,,
247,248,Nothing,,,,
248,249,Nothing,,,,
249,250,Nothing,,,,
250,251,Nothing,,,,
251,252,Nothing,,,,
252,253,Nothing,,,,
253,254,Nothing,,,,
254,255,Nothing,,,,
255,256,Nothing,,,,
256,257,Nothing,,,,
257,258,Nothing,,,,
258,259,Nothing,,,,
259,260,Nothing,,,,
260,261,Nothing,,,,
261,262,Nothing,,,,
262,263,Nothing,,,,
263,264,Nothing,,,,
264,265,Nothing,,,,
265,266,Nothing,,,,
266,267,Nothing,,,,
267,268,Nothing,,,,
268,269,Nothing,,,,
269,270,Nothing,,,,
270,271,Nothing,,,,
271,272,Nothing,,,,
272,273,Nothing,,,,
273,274,Nothing,,,,
274,275,Nothing,,,,
275,276,Nothing,,,,
