,frame,behaviour,hit,values,freq
0,0,Nothing,,jumping,57.0
1,1,Nothing,,,
2,2,Nothing,,,
3,3,Nothing,,,
4,4,Nothing,,,
5,5,Nothing,,,
6,6,Nothing,,,
7,7,Nothing,,,
8,8,Nothing,,,
9,9,Nothing,,,
10,10,Nothing,,,
11,11,Nothing,,,
12,12,Nothing,,,
13,13,Nothing,,,
14,14,Nothing,,,
15,15,Nothing,,,
16,16,Nothing,,,
17,17,Nothing,,,
18,18,Nothing,,,
19,19,Nothing,,,
20,20,Nothing,,,
21,21,Nothing,,,
22,22,Nothing,,,
23,23,Nothing,,,
24,24,Nothing,,,
25,25,Nothing,,,
26,26,Nothing,,,
27,27,Nothing,,,
28,28,Nothing,,,
29,29,Nothing,,,
30,30,Nothing,,,
31,31,Nothing,,,
32,32,Nothing,,,
33,33,Nothing,,,
34,34,Nothing,,,
35,35,Nothing,,,
36,36,Nothing,,,
37,37,Nothing,,,
38,38,Nothing,,,
39,39,Nothing,,,
40,40,Nothing,,,
41,41,Nothing,,,
42,42,Nothing,,,
43,43,Nothing,,,
44,44,Nothing,,,
45,45,Nothing,,,
46,46,Nothing,,,
47,47,Nothing,,,
48,48,Nothing,,,
49,49,Nothing,,,
50,50,Nothing,,,
51,51,Nothing,,,
52,52,Nothing,,,
53,53,Nothing,,,
54,54,Nothing,,,
55,55,Nothing,,,
56,56,Nothing,,,
57,57,Nothing,,,
58,58,Nothing,,,
59,59,Nothing,,,
60,60,Nothing,,,
61,61,Nothing,,,
62,62,Nothing,,,
63,63,Nothing,,,
64,64,Nothing,,,
65,65,Nothing,,,
66,66,Nothing,,,
67,67,Nothing,,,
68,68,Nothing,,,
69,69,Nothing,,,
70,70,Nothing,,,
71,71,Nothing,,,
72,72,Nothing,,,
73,73,Nothing,,,
74,74,Nothing,,,
75,75,Nothing,,,
76,76,Nothing,,,
77,77,Nothing,,,
78,78,Nothing,,,
79,79,Nothing,,,
80,80,Nothing,,,
81,81,Nothing,,,
82,82,Nothing,,,
83,83,Nothing,,,
84,84,Nothing,,,
85,85,Nothing,,,
86,86,Nothing,,,
87,87,Nothing,,,
88,88,Nothing,,,
89,89,Nothing,,,
90,90,Nothing,,,
91,91,Nothing,,,
92,92,Nothing,,,
93,93,Nothing,,,
94,94,Nothing,,,
95,95,Nothing,,,
96,96,Nothing,,,
97,97,Nothing,,,
98,98,Nothing,,,
99,99,Nothing,,,
100,100,Nothing,,,
101,101,Nothing,,,
102,102,Nothing,,,
103,103,Nothing,,,
104,104,Nothing,,,
105,105,Nothing,,,
106,106,Nothing,,,
107,107,Nothing,,,
108,108,Nothing,,,
109,109,Nothing,,,
110,110,Nothing,,,
111,111,Nothing,,,
